,postalcode,price,year,area,rooms,type
145545,800,57000000,2002,154,3,1
145546,800,29400000,2007,73,2,0
145547,210,68900000,2016,154,3,0
145548,800,37900000,2007,87,3,0
145549,105,44800000,1946,100,1,0
145551,112,48500000,2005,104,3,0
145552,107,37500000,1979,68,1,0
145554,103,53000000,1983,127,2,0
145555,101,20062000,1903,92,3,0
145556,340,37400000,2005,125,2,1
145557,101,49500000,1934,106,3,0
145558,825,31500000,1926,111,4,2
145561,101,40000000,1992,61,1,0
145562,107,64500000,1946,116,2,0
145563,221,47000000,2004,106,3,0
145565,108,54000000,1961,150,2,0
145571,270,52000000,2000,216,4,0
145575,240,42600000,1957,183,4,2
145576,260,31700000,2018,76,2,0
145580,105,31500000,1959,37,1,0
145583,300,22500000,1979,57,1,0
145585,104,48900000,1961,88,2,0
145586,201,66900000,2017,129,3,0
145587,600,47000000,1897,131,4,2
145589,270,45600000,2020,80,2,0
145591,200,46000000,1973,98,3,0
145592,200,49200000,1966,127,4,0
145596,600,27000000,1974,99,3,0
145597,220,64900000,1941,198,4,0
145599,200,65000000,1984,116,3,0
145600,270,54900000,2017,112,3,0
145601,113,46200000,2003,95,2,0
145604,110,44500000,1983,100,3,0
145605,221,43600000,2020,80,2,0
145606,104,80500000,1959,175,6,1
145607,101,50500000,1959,100,2,0
145608,203,105200000,2006,261,5,2
145609,201,78400000,2019,130,3,0
145612,101,55000000,1986,120,2,0
145613,105,35700000,1941,57,2,0
145615,102,67900000,2020,103,2,0
145616,107,28000000,1939,53,1,0
145617,108,108000000,1957,238,7,2
145618,690,11000000,1979,112,3,0
145619,260,49000000,1980,191,3,1
145624,550,58000000,1993,166,3,2
145625,860,31500000,2007,105,2,1
145626,800,35000000,2001,109,2,0
145628,104,90000000,1950,251,8,2
145629,200,79000000,2020,116,2,0
145630,203,62000000,2018,115,2,0
145631,105,30500000,1962,50,1,0
145633,110,58200000,1984,112,3,0
145634,110,75300000,2009,146,3,1
145635,113,40500000,2020,64,1,0
145636,201,44800000,1996,87,2,0
145637,270,82400000,1990,207,3,2
145638,203,53500000,2006,106,2,0
145639,220,61900000,2008,102,2,0
145640,104,49000000,1959,122,3,0
145641,107,78000000,1955,161,3,0
145642,111,31900000,1973,60,1,0
145643,112,49500000,1992,136,3,0
145645,210,98500000,1994,186,4,2
145646,101,102000000,2014,145,3,0
145647,101,42000000,1997,63,1,0
145648,101,81900000,1987,158,5,0
145650,200,57900000,2019,96,2,0
145652,350,48000000,1994,194,5,2
145653,210,95500000,1979,252,7,1
145654,220,39400000,2006,86,1,0
145655,221,45200000,2002,83,2,0
145657,109,38000000,1979,88,1,0
145658,221,98900000,2005,208,2,2
145659,350,15000000,1959,162,3,0
145660,110,79500000,1999,201,3,1
145661,101,49800000,1938,109,2,0
145663,104,41100000,1966,90,2,0
145664,300,34000000,1948,113,2,0
145665,300,19448000,2020,37,1,0
145666,810,52900000,2020,120,2,1
145667,109,44000000,1972,120,3,0
145669,190,57000000,1978,156,3,2
145671,262,29100000,1992,145,3,0
145673,900,27300000,1949,114,3,0
145674,900,45500000,1994,145,3,2
145675,102,51900000,2020,76,2,0
145676,200,42900000,1979,73,2,0
145678,105,49400000,2007,87,1,0
145679,604,72500000,2019,182,4,1
145680,735,27500000,1958,150,4,2
145681,260,39500000,2020,97,2,0
145682,900,50500000,1986,198,3,2
145683,603,58500000,1990,146,3,1
145686,108,51300000,1951,97,2,0
145687,111,65500000,1981,124,4,1
145688,200,107000000,1985,309,5,1
145690,105,53500000,1949,100,3,0
145691,105,39900000,1956,78,2,0
145698,109,86000000,1982,215,4,2
145700,203,49900000,2008,108,2,0
145703,101,40900000,1937,70,2,0
145704,203,115000000,2005,219,4,2
145705,105,59000000,1958,116,3,0
145706,210,42750000,1966,79,2,0
145707,221,49300000,2001,112,3,0
145709,210,8158000,1987,87,2,0
145710,201,69900000,1996,133,3,0
145711,200,84500000,1954,165,5,2
145712,109,41000000,1968,95,3,0
145713,104,34500000,1967,71,1,0
