,postalcode,price,year,area,rooms,type
153625,210,55900000,2020,93,2,0
153626,270,55800000,1983,92,2,0
153627,355,11500000,1946,57,2,2
153628,201,59400000,1997,105,2,0
153629,200,65900000,2021,100,3,0
153630,201,51500000,2003,102,2,0
153631,270,69500000,2019,126,2,0
153632,108,40000000,1968,75,1,0
153633,108,57000000,1968,138,3,0
153634,800,55200000,2003,110,3,1
153635,800,39900000,2001,88,2,0
153636,107,82000000,1950,134,4,0
153637,107,58200000,1966,105,3,0
153638,815,74900000,2006,225,3,2
153639,810,46900000,2021,106,4,0
153640,815,51100000,1971,164,4,2
153642,800,49900000,2021,105,2,0
153643,800,53000000,2021,99,3,1
153644,800,63900000,1947,235,2,0
153645,800,63900000,1947,235,2,0
153646,260,56000000,2021,120,3,1
153647,260,46200000,2018,104,2,1
153648,245,39000000,1985,108,3,2
153649,900,43000000,1965,178,4,2
153650,210,64000000,2021,103,3,0
153651,107,68600000,1958,87,3,0
153652,220,31000000,1909,58,2,0
153653,260,52500000,2021,111,3,1
153654,260,36000000,2019,83,2,0
153655,900,24000000,1985,61,1,0
153656,203,50450000,2007,103,2,0
153657,108,105000000,1982,244,5,1
153658,108,78000000,1954,183,7,1
153659,201,49000000,1997,91,2,0
153660,113,74350000,2003,142,3,0
153661,220,33500000,1966,73,1,0
153662,203,91000000,2007,197,4,0
153664,111,55500000,1974,148,4,0
153665,101,15000000,1926,79,1,0
153666,300,17500000,1963,54,1,0
153675,210,67900000,2021,115,2,0
153676,210,78500000,2021,127,3,0
153677,113,59000000,2004,110,3,0
153678,101,41500000,1936,70,1,0
153679,113,66500000,2004,110,3,0
153680,107,64900000,1984,106,3,0
153681,111,34900000,1973,63,1,0
153682,200,37900000,1978,93,2,0
153683,210,63300000,2021,102,3,0
153684,103,67900000,1983,160,3,0
153686,101,99500000,2019,106,2,0
153687,101,47900000,1935,73,1,0
153688,170,39300000,1987,55,1,0
153689,603,33400000,2003,78,2,0
153690,600,38500000,2004,94,2,0
153691,603,27700000,1970,100,3,0
153692,700,36500000,2006,84,2,0
153694,603,27200000,1965,96,3,0
153695,600,43000000,2015,98,2,0
153696,110,84000000,2001,210,5,0
153697,170,70000000,1981,316,6,2
153698,101,63500000,2019,100,2,0
153699,201,52800000,1997,96,2,0
153700,201,68500000,1998,121,2,0
153701,260,38500000,2019,95,3,0
153702,101,63500000,2019,96,2,0
153703,112,54900000,2000,109,2,0
153704,230,79500000,1987,245,5,2
153705,200,59900000,2020,84,1,0
153706,111,45000000,1979,110,3,0
153709,111,38000000,1973,84,1,0
153710,112,49000000,1993,89,3,0
153711,221,44500000,1995,78,1,2
153712,270,45900000,2020,69,1,0
153713,221,71500000,1987,158,3,2
153714,270,65000000,2004,122,3,0
153715,200,41200000,1966,71,1,0
153716,111,36500000,1975,72,2,0
153717,112,42500000,1995,85,3,0
153718,105,47900000,1940,72,2,0
153719,201,76000000,1998,136,2,0
153720,105,49500000,1960,150,2,0
153721,200,61900000,2021,93,2,0
153722,603,40500000,1997,127,3,0
153723,620,37700000,1988,142,3,1
153724,603,22200000,1979,58,1,0
153725,107,62000000,1990,105,3,0
153726,112,48000000,1999,93,2,0
153727,200,65900000,2021,112,3,0
153728,200,89900000,2021,107,2,0
153729,220,42300000,1961,65,1,0
153730,210,77900000,2021,126,3,0
153731,210,78900000,2021,127,3,0
153732,580,43500000,1913,162,4,2
153733,825,26000000,1902,71,2,1
153734,230,26800000,1987,84,2,0
153735,230,45800000,1971,186,4,0
153736,201,67500000,1995,128,3,0
153739,600,22900000,1946,50,1,0
153740,230,49800000,2019,121,3,0
153741,200,90000000,2015,122,2,0
153742,101,77000000,1935,147,3,0
153743,105,95900000,2018,122,2,0
153745,108,49900000,1961,121,3,0
153746,270,58900000,2020,122,2,0
153747,105,36374000,1986,69,1,0
153748,108,76500000,1968,145,3,0
153749,101,96500000,1935,179,3,0
153750,800,61900000,2005,158,3,1
153751,210,64900000,2016,113,2,0
153753,200,44000000,1949,74,2,0
153754,220,21625000,1989,105,3,0
153755,200,35900000,2021,46,1,0
153756,200,57900000,2021,91,2,0
153757,200,44900000,2021,60,1,0
153758,200,80500000,2021,100,2,0
153759,210,107000000,2003,180,4,1
153760,200,36400000,2021,43,1,0
153761,200,58900000,2021,91,2,0
153762,200,55900000,2021,89,2,0
153763,210,69900000,2020,115,3,0
153764,210,45000000,2020,76,1,0
153765,105,89000000,2010,152,2,0
153766,113,46500000,2021,77,2,1
153767,300,28000000,1976,57,1,0
153768,800,64000000,2018,148,3,1
153769,800,73000000,2003,236,5,2
153770,105,46300000,1961,83,2,0
153771,200,45400000,2021,64,1,0
153772,112,53900000,1993,89,3,0
153773,104,85000000,1960,164,3,0
153774,101,66000000,1935,122,1,0
153775,107,35551000,1957,98,3,0
153776,201,66900000,2001,120,3,0
153777,109,105000000,1981,338,7,2
153778,210,58500000,2020,95,2,0
153779,105,58500000,1950,109,2,0
153780,200,44350000,1978,86,2,0
153781,112,18432000,1989,96,2,0
153782,101,35900000,1933,48,1,0
153783,210,250000000,1966,265,4,2
153784,221,121500000,1998,217,4,2
153785,201,90900000,2021,125,3,0
153786,105,61700000,1958,111,2,0
153787,112,95500000,1985,194,5,2
153788,800,35300000,2006,100,2,0
153789,105,36000000,1945,53,1,0
153790,200,66900000,1984,94,2,0
153791,210,49900000,2020,79,1,0
153792,210,72900000,2020,121,3,0
153793,108,48500000,1958,80,2,0
153794,101,65500000,1908,143,3,0
153795,104,58000000,1949,100,3,0
153796,210,72900000,2020,135,3,0
153797,210,51200000,2020,79,2,0
153798,101,84500000,2019,108,2,0
153799,210,72900000,2013,105,2,0
153801,101,37000000,1930,39,1,0
153802,310,21900000,1981,67,1,0
153803,300,34900000,1932,111,1,0
153804,230,20000000,1946,59,2,2
153806,260,36100000,2021,74,2,0
153807,260,37000000,2009,122,2,0
153808,900,33000000,1955,94,2,0
153809,105,36000000,1985,70,1,0
153810,108,75500000,1961,161,3,1
153811,603,45000000,1995,107,3,1
153812,230,27900000,1985,65,1,0
153813,900,23500000,1945,88,3,0
153814,112,51700000,1988,97,2,0
153815,270,64000000,2020,108,3,0
153817,603,45900000,1993,108,3,1
153818,600,41900000,2007,97,2,0
153819,600,47500000,1950,130,2,2
153820,270,49000000,1994,84,2,0
153821,104,48200000,1956,96,3,0
153822,800,54200000,1973,173,3,2
153823,105,49000000,1942,77,2,0
153824,101,51000000,1904,80,2,0
153825,201,103250000,1996,181,5,2
153826,270,53000000,2017,121,3,0
153827,220,44900000,1993,92,2,0
153828,104,33900000,1961,47,1,0
153829,105,71900000,2020,105,1,0
153830,101,57000000,2006,83,1,0
153831,800,67500000,1981,197,4,2
153832,101,37750000,1933,64,1,0
153833,740,12000000,1905,147,5,2
153834,740,23000000,1960,89,2,0
153835,730,31000000,2005,82,2,0
153836,765,34000000,1979,158,3,2
153842,730,25000000,2005,104,3,1
153843,740,18800000,1944,71,2,0
153844,550,22000000,1948,138,2,0
153845,109,33000000,1978,55,1,0
153846,810,51500000,1975,211,5,2
153847,810,66000000,2007,168,3,1
153848,110,36000000,1985,58,1,0
153849,640,37500000,1934,165,6,2
153850,800,42500000,2004,112,3,0
153851,800,31500000,1976,76,1,0
153852,105,28680000,1987,52,1,0
153853,112,48700000,1994,84,2,0
153854,105,42100000,1938,61,2,0
153855,111,67000000,1973,159,4,1
153856,110,48500000,1986,87,2,0
153857,200,43500000,1980,79,2,0
153858,220,62750000,1983,139,3,0
153859,200,55000000,1999,105,2,0
153860,111,39000000,1973,83,2,0
153861,700,16500000,1989,45,1,0
153862,170,60000000,1979,107,2,0
153863,110,31000000,1986,42,1,0
153864,201,23742000,2018,91,2,0
153865,110,42750000,1967,122,3,0
153867,230,23900000,1956,75,1,0
153868,200,54900000,2020,78,1,0
153869,221,104000000,2001,189,4,1
153870,110,47500000,1990,84,2,0
153871,200,49900000,2021,75,1,0
153872,200,50400000,2021,67,1,0
153873,203,117000000,2014,193,4,1
153874,220,46900000,1999,89,2,0
153875,221,79000000,2020,144,4,0
153876,210,75000000,2021,126,3,0
153877,210,76000000,2021,126,3,0
153879,101,40000000,1935,56,1,0
153880,200,98000000,1983,248,5,2
153881,806,19900000,2003,70,1,1
153882,221,48700000,2020,83,2,0
153883,225,43000000,2003,76,1,0
153884,800,68500000,1976,188,5,2
153886,230,32500000,1992,83,2,0
153887,220,48900000,1965,110,3,0
153888,220,48000000,1992,102,2,0
153889,221,47900000,2015,80,2,0
153890,220,35750000,1966,54,1,0
153891,109,44500000,1970,99,3,0
153892,530,17500000,1971,117,3,1
153893,600,38000000,1946,162,3,0
153894,800,43500000,2021,86,2,0
153895,800,35900000,2021,80,1,0
153896,200,63900000,2020,114,3,0
153897,310,46000000,1950,228,4,2
153900,600,36950000,2020,81,2,0
153901,200,52900000,2020,78,1,0
153902,210,105000000,2021,183,5,1
153903,101,100000000,1910,119,2,0
153904,311,80000000,2006,198,5,2
153905,201,135000000,1996,273,4,2
153906,800,53400000,2008,161,3,1
153907,112,48205000,1995,98,2,0
153908,270,82000000,1995,147,3,0
153909,111,63100000,1979,140,5,1
153910,101,60000000,1963,123,3,0
153911,110,44500000,1967,106,3,0
153912,210,180000000,1969,429,2,2
153913,102,52900000,2019,66,2,0
153914,104,43500000,1950,82,3,0
153915,111,35900000,1974,62,1,0
153916,107,47190000,1977,69,2,0
153917,103,22500000,1960,116,3,0
153918,110,54500000,1983,124,3,0
153919,200,58500000,2021,94,2,0
153920,200,46900000,2021,60,1,0
153921,200,59900000,2021,93,2,0
153922,112,76100000,1991,134,3,1
153923,112,97500000,1994,161,4,2
153924,200,70000000,1962,151,2,2
153925,210,65900000,2020,113,3,0
153926,210,77500000,2021,146,3,0
153927,105,39700000,1948,58,2,0
153928,101,53500000,1918,81,2,0
153929,210,49000000,2019,67,1,0
153930,105,30000000,1959,31,1,0
153931,104,52900000,1958,94,2,0
153932,220,25200000,1957,129,3,0
153933,110,52000000,2004,92,1,0
153934,200,74000000,1942,122,1,0
153935,101,95000000,2018,118,2,0
153936,104,65000000,1959,107,3,0
153937,110,52500000,2000,93,2,0
153938,220,39500000,1941,87,3,0
153939,203,68000000,2018,116,2,0
153940,105,46000000,1942,83,2,1
153941,101,30777000,2021,40,1,0
153942,108,80000000,1971,146,4,0
153943,415,35500000,1961,186,4,2
153944,102,99000000,2020,170,2,0
153945,108,112500000,1970,215,3,1
153946,105,105000000,1983,267,7,1
153947,105,54900000,1951,106,2,0
153948,210,87900000,1964,164,3,1
153949,415,24000000,1965,105,3,2
153950,103,38470000,2007,77,1,0
153951,470,12000000,1978,98,2,1
153952,220,44000000,1984,101,2,0
153953,806,61000000,2014,246,3,2
153955,260,67900000,2021,185,4,1
153956,109,44900000,1972,99,2,0
153959,190,54900000,1984,172,4,2
153961,220,50000000,1992,96,2,0
153963,101,265000000,2019,198,2,0
153966,740,45000000,1966,180,6,2
153967,800,44600000,2017,91,3,1
153968,820,38000000,2020,100,2,1
153969,250,26000000,2008,68,1,1
153970,260,99000000,2008,295,4,2
153971,260,31700000,2006,89,2,0
153972,230,55900000,2021,105,2,0
153973,111,36500000,1978,75,2,0
153975,109,32961000,2021,67,1,0
153976,109,35866000,2021,67,1,0
153977,109,46192000,2021,94,2,0
153978,109,33195000,2021,68,1,0
153979,109,36157000,2021,68,1,0
153981,210,66200000,2020,113,3,0
153982,600,51000000,2019,101,2,0
153985,260,46500000,2009,97,3,1
153986,108,218000000,1968,290,4,2
153988,210,62900000,2017,111,2,0
153989,113,72900000,2021,147,4,1
153990,200,62000000,1969,214,5,1
153991,109,43900000,1970,88,2,0
153992,105,49000000,1959,84,2,0
153993,200,47900000,2021,64,1,0
153994,220,115800000,1969,228,5,2
153995,109,107000000,1980,215,4,2
153996,220,51000000,1976,143,3,0
153997,101,46000000,1934,115,2,0
153998,220,50400000,1971,107,3,0
153999,111,34900000,1972,59,1,0
154000,111,48900000,1974,121,3,0
154001,113,139000000,2008,327,4,2
154002,110,36900000,1967,58,1,0
154003,201,54000000,1996,90,1,0
154005,300,42500000,2007,107,3,0
154006,690,11000000,1979,112,3,0
154007,220,41600000,1965,85,1,0
154008,112,57400000,1996,111,2,0
154009,221,54500000,2005,106,3,0
154010,221,44000000,2005,73,1,0
154011,810,35200000,2021,63,2,0
154012,101,57900000,1997,93,2,0
154013,210,61650000,2016,107,3,0
154014,111,35500000,1971,78,2,0
154015,201,60100000,1996,115,3,0
154016,101,280000000,1904,429,2,0
154017,101,280000000,1904,429,2,0
154018,101,280000000,1904,429,1,0
154019,101,280000000,1927,429,1,0
154020,101,280000000,1903,429,2,0
154021,101,280000000,1946,429,1,2
154024,101,280000000,1903,429,2,0
154025,101,280000000,1903,429,1,0
154026,101,24000000,1898,48,1,0
154029,103,88750000,2020,137,3,0
154030,210,84900000,2020,132,4,0
154031,225,26170000,1986,236,5,2
154032,230,22000000,1957,78,2,0
154033,260,38000000,2008,107,2,0
154034,850,31250000,2019,81,2,1
154035,262,29000000,1970,94,2,0
154036,900,27000000,1925,68,2,0
154037,112,51500000,1994,103,4,0
154038,111,28000000,1974,40,1,0
154039,220,45000000,1966,121,3,0
154040,110,127000000,2020,156,4,0
154041,170,80000000,1959,164,1,0
154042,611,11700000,1942,207,5,2
154043,800,50500000,2019,105,3,1
154044,240,56000000,1954,226,3,2
154045,101,51900000,1926,86,2,0
154046,104,57000000,1961,95,2,0
154047,221,48500000,2020,84,2,0
154049,110,39900000,1985,79,1,0
154050,112,47900000,1992,84,2,0
154051,107,46000000,1988,73,1,0
154052,640,18855000,1919,108,3,0
154053,640,23045000,1919,213,2,0
154054,600,29000000,1931,89,2,0
154055,845,37900000,2020,96,3,1
154056,262,28500000,1969,89,2,0
154057,101,77500000,1931,129,3,0
154058,580,12100000,1927,66,3,1
154061,600,90000000,1932,421,3,0
154065,800,46900000,2004,103,2,0
154066,603,22000000,1978,75,2,0
154067,600,22000000,1932,57,2,0
154068,113,64900000,2002,144,3,0
154069,104,69000000,1961,198,3,0
154070,113,71000000,2004,153,3,0
154071,109,46000000,1974,73,1,0
154072,270,88000000,1977,253,6,1
154073,112,49200000,1995,100,2,0
154074,220,96000000,1978,259,6,2
154076,104,47000000,1942,102,1,2
154077,220,61500000,2008,108,2,0
154078,105,46500000,1948,56,1,0
154079,800,58500000,2004,145,2,1
154081,210,60900000,2020,93,2,0
154082,210,67900000,2020,113,3,0
154084,210,82500000,1966,130,3,2
154085,104,56700000,1967,130,3,0
154086,815,57000000,2019,157,3,1
154087,200,52900000,2020,78,1,0
154088,109,58900000,1992,109,2,0
154089,108,42500000,1961,77,2,0
154090,101,45706000,1998,78,2,0
154092,111,39600000,1974,97,3,0
154093,108,57400000,1951,119,4,0
154094,220,42000000,1905,64,2,0
154095,300,39600000,2006,91,2,0
154096,560,65000000,1954,282,6,0
154097,110,48200000,1967,103,3,0
154098,540,25200000,1986,95,2,1
154099,800,58000000,1968,183,4,2
154100,200,36900000,2021,43,1,0
154101,105,51000000,1959,108,2,0
154102,170,48200000,1982,78,1,0
154103,201,74900000,1997,160,4,0
154104,108,45000000,1964,82,2,0
154105,806,45000000,2009,193,3,2
154106,230,22000000,1976,66,2,0
154107,105,74500000,1947,125,3,0
154108,108,47000000,1964,107,2,0
154109,800,32750000,2017,73,1,0
154110,105,41000000,1938,57,2,0
154111,800,43100000,2017,91,3,1
154112,210,15525000,2017,99,2,0
154113,112,97500000,1998,163,3,2
154114,201,70700000,2015,116,3,0
154115,225,59900000,2004,96,2,0
154116,110,62900000,2005,119,3,0
154117,111,36000000,1978,58,1,0
154118,580,41500000,1972,175,4,2
154119,110,40000000,1968,95,3,0
154120,260,52000000,2019,120,2,1
154121,203,115000000,2013,180,4,1
154122,260,47000000,2017,117,3,0
154124,200,59400000,2021,102,2,0
154125,200,47900000,2021,72,1,0
154126,210,89000000,1974,159,2,2
154127,201,47990000,2021,51,1,0
154128,200,43900000,2021,64,1,0
154129,200,60900000,2021,100,2,0
154130,111,43500000,1973,106,3,0
154131,201,69900000,2000,114,3,0
154132,112,43800000,1996,89,2,0
154135,170,155000000,1988,233,3,2
154136,540,24900000,1988,87,2,1
154137,250,58000000,1983,193,4,2
154138,203,60900000,2007,116,3,0
154139,105,44000000,1960,77,2,0
154140,170,79000000,1964,155,4,0
154141,107,38200000,1981,87,1,0
154142,210,71000000,1981,105,3,1
154144,101,49500000,1985,87,4,0
154146,105,120000000,2014,186,2,0
154147,103,51000000,2016,64,1,0
154148,200,92000000,1984,215,6,1
154151,200,38600000,1973,59,1,0
154152,221,49000000,2020,84,2,0
154153,210,79500000,2020,131,3,0
154154,210,75000000,2004,134,3,0
154155,300,50500000,2007,125,3,0
154156,108,49900000,1964,118,4,0
154157,220,51000000,2006,80,2,0
154158,400,28600000,1981,118,3,1
154159,600,12500000,1929,49,2,0
154160,220,50900000,1992,83,2,0
154161,603,26000000,1968,82,2,0
154162,203,55500000,2014,132,2,0
154163,200,130300000,2021,149,2,0
154164,900,23700000,1950,87,2,0
154165,900,22000000,1920,103,3,2
154166,102,127500000,1929,235,5,2
154167,800,43900000,2021,97,2,0
154168,260,35800000,1965,104,2,0
154169,900,42500000,1955,274,5,2
154170,200,40000000,1988,68,1,0
154171,460,20000000,1981,103,3,2
154172,260,43000000,1968,127,3,2
154173,105,50000000,1965,92,2,0
154174,620,22400000,1958,199,4,2
154175,800,36300000,2021,82,1,0
154176,800,43250000,2021,97,2,0
154177,800,36500000,2021,80,1,0
154178,800,36500000,2021,82,1,0
154179,800,43900000,2021,87,2,0
154180,800,43250000,2021,86,2,0
154181,800,43500000,2021,86,2,0
154182,220,98000000,1987,252,4,0
154183,110,47500000,2013,83,1,0
154184,102,43500000,1991,164,6,0
154185,800,43500000,2021,87,2,0
154186,111,56500000,1973,129,3,0
154187,107,65000000,1963,96,3,0
154188,210,83500000,2016,144,3,0
154189,200,46250000,1973,86,2,0
154190,101,58000000,2006,89,2,0
154191,105,76000000,1946,204,3,0
154192,460,27000000,1991,140,4,2
154193,101,78500000,2019,74,1,0
154194,210,87500000,2001,142,3,1
154195,220,47000000,1954,85,3,0
154196,112,48500000,1988,92,2,0
154197,200,70500000,2021,95,2,0
154198,200,69500000,2021,95,2,0
154199,220,130000000,1980,311,7,2
154200,210,79900000,2021,126,3,0
154201,270,85500000,2015,174,4,2
154202,108,55600000,1971,85,3,0
154203,220,63400000,1961,138,5,0
154204,200,57900000,2020,97,2,0
154205,270,65000000,2006,189,4,1
154206,300,63500000,1955,219,1,0
154207,300,63500000,1955,219,2,0
154208,220,78500000,1987,171,3,0
154209,101,150000000,1930,252,2,0
154210,101,150000000,1930,252,1,0
154211,101,150000000,1930,252,3,0
154212,220,73000000,1961,140,3,0
154213,221,89000000,2005,189,4,0
154214,600,38600000,2007,91,2,0
154216,101,52000000,1936,99,2,0
154217,112,44400000,1988,91,2,0
154218,221,60000000,2001,126,2,0
154219,111,33000000,1973,68,1,0
154220,360,17600000,1945,70,3,2
154221,108,59000000,1961,111,2,0
154222,310,36000000,1993,104,2,0
154223,105,176000000,1967,317,7,2
154224,600,22000000,1996,49,1,0
154225,270,37900000,2020,57,1,0
154226,270,64000000,2019,113,2,0
154227,270,61500000,2018,118,3,0
154228,112,50900000,1994,80,2,0
154229,101,40000000,1981,52,1,0
154230,110,42500000,1967,119,5,0
154231,200,61000000,1963,148,3,0
154232,201,53500000,1996,87,2,0
154233,102,40500000,1987,124,3,0
154234,101,33500000,1915,54,2,0
154235,400,24200000,1973,100,2,0
154237,200,43200000,1984,65,2,0
154238,810,72100000,2009,196,3,2
154239,230,63000000,2020,144,3,0
154240,104,49000000,1959,81,2,0
154241,101,229000000,2019,191,2,0
154242,170,135000000,1980,209,3,2
154243,850,36500000,1970,162,3,2
154244,260,52000000,1984,143,2,2
154245,230,23300000,1977,65,1,0
154246,110,52500000,2002,89,2,0
154247,270,59000000,2020,104,2,0
154248,240,48000000,2006,106,2,0
154249,200,61900000,2020,93,2,0
154250,109,41900000,1968,96,3,0
154251,300,64100000,1980,176,4,2
154253,740,16800000,1972,56,1,0
154254,107,44500000,1955,74,2,0
154255,107,55200000,1957,100,2,0
154256,107,71900000,1959,125,4,0
154257,210,57000000,2020,95,2,0
154258,108,55400000,1962,135,3,0
154259,220,42500000,1970,90,2,0
154260,107,135000000,1982,319,8,2
154261,101,33500000,1929,118,3,0
154262,203,58000000,2007,113,2,0
154263,201,54000000,2017,74,1,0
154264,815,21000000,1979,65,1,0
154265,170,300000000,1979,323,5,2
154266,221,56300000,2005,112,3,0
154267,220,38000000,1992,63,1,0
154268,200,54900000,2021,91,2,0
154269,210,139000000,2009,254,5,1
154270,107,32700000,1939,46,1,0
154271,109,74400000,1978,227,7,1
154273,200,37000000,1968,74,2,0
154274,111,32400000,1973,61,1,0
154275,111,30000000,1973,52,1,0
154276,580,18000000,1934,95,3,0
154277,580,19000000,1914,55,3,2
154278,107,41500000,1978,61,1,0
154279,800,43900000,2021,90,2,0
154280,800,28500000,2019,60,1,0
154281,105,36000000,1941,52,1,0
154282,101,57400000,1936,93,2,0
154283,800,43900000,2021,90,2,0
154284,240,53000000,2003,145,3,1
154285,262,38300000,1978,122,3,0
154286,210,67900000,2006,103,2,0
154287,110,43700000,1967,96,3,0
154288,540,22000000,1957,144,3,2
154289,550,49750000,1977,137,3,1
154290,800,69000000,2004,154,3,2
154291,800,43500000,2021,97,2,0
154292,105,52000000,1949,101,4,0
154293,109,90000000,1969,206,4,2
154295,310,66500000,1967,251,5,2
154296,566,12500000,1997,59,2,2
154298,101,24500000,1906,50,1,0
154299,111,38000000,1971,78,2,0
154300,105,52500000,1992,109,2,0
154301,210,110000000,2016,134,2,0
154302,800,63000000,1968,181,5,2
154303,105,92500000,1945,159,2,0
154304,112,55900000,1997,105,2,0
154305,800,59000000,1971,159,3,2
154306,112,47000000,1996,83,2,0
154307,270,48000000,1995,84,2,0
154308,200,59900000,2020,96,2,0
154309,105,33900000,1941,58,2,0
154310,107,53500000,1958,84,1,0
154311,108,160000000,1971,301,7,1
154312,108,135000000,1972,227,7,1
154313,108,120000000,1973,217,5,1
154314,580,78500000,1943,182,8,2
154315,815,58900000,1994,208,5,2
154316,815,58900000,1994,208,5,2
154317,815,48900000,2021,111,2,1
154318,109,46500000,1978,140,3,0
154319,210,97500000,1972,170,4,2
154320,101,51200000,1937,88,1,0
154321,105,92000000,2014,135,2,0
154322,110,43000000,2007,66,1,0
154324,600,37000000,2019,79,2,0
154325,600,41000000,2018,77,3,0
154331,340,49500000,2007,151,3,2
154332,340,57500000,1961,200,4,2
154333,110,84500000,1968,159,4,1
154334,111,62500000,1981,128,4,1
154335,200,69900000,2020,118,3,0
154336,108,56000000,1972,95,3,0
154337,108,74000000,1967,188,4,0
154338,230,27900000,1987,84,2,0
154339,300,45300000,1998,145,3,0
154340,230,45500000,1952,143,3,0
154341,260,36300000,2021,74,2,0
154342,200,57500000,2021,92,2,0
154343,200,68500000,2021,103,2,0
154344,600,36000000,1973,95,3,0
154345,262,35900000,1969,185,4,0
154347,262,36900000,1978,122,4,0
154348,900,25000000,1980,85,2,0
154349,109,112000000,1976,241,7,2
154350,109,42900000,1977,94,2,0
154351,600,33500000,1989,90,2,0
154353,230,32900000,1972,83,2,0
154354,220,71500000,1963,161,3,0
154355,110,63400000,2013,100,3,0
154356,203,40000000,2005,77,1,0
154358,270,84900000,2009,182,3,1
154359,230,27800000,1972,69,1,0
154360,210,53900000,2019,83,2,0
154361,210,59700000,2018,95,2,0
154362,260,43900000,2008,123,4,0
154363,112,47500000,1993,86,2,0
154364,610,38000000,1972,156,3,2
154365,110,96200000,1969,196,4,2
154367,800,48750000,2021,94,2,1
154368,220,47700000,1969,126,3,0
154369,603,38500000,1998,127,3,0
154370,604,67500000,1983,246,4,2
154371,603,58500000,1978,166,4,1
154373,201,50000000,2000,99,2,0
154375,201,43000000,2020,53,1,0
154376,101,44800000,1944,79,2,0
154377,111,41500000,1973,93,2,0
154378,603,35900000,1969,109,3,0
154379,108,63900000,1959,110,3,1
154382,230,72900000,1999,174,4,2
154383,230,43500000,1935,125,2,2
154384,260,78500000,2006,229,2,2
154386,260,43900000,2017,120,3,0
154387,260,28500000,2008,70,1,0
154390,190,32000000,1966,93,3,0
154392,108,51500000,1964,93,2,0
154393,200,186000000,1969,216,5,2
154394,111,30000000,1972,57,1,0
154395,730,29000000,1991,112,3,1
154396,203,64900000,2004,120,3,0
154397,105,68400000,2020,97,2,0
154398,210,55900000,2019,91,1,0
154399,300,27000000,1935,81,2,0
154400,300,30000000,1980,108,2,0
154401,300,57500000,2018,126,3,0
154402,111,40200000,1974,97,3,0
154403,221,49300000,1994,78,2,0
154404,105,47500000,1958,92,1,0
154405,465,10500000,1931,142,3,2
154406,603,28500000,2005,66,1,0
154407,600,57500000,2006,117,2,1
154408,109,40650000,1971,89,3,0
154409,600,32300000,2006,73,1,0
154410,220,95500000,2007,164,3,0
154411,101,132000000,1948,200,2,2
154412,600,24000000,1972,58,1,0
154413,600,38500000,1947,138,2,0
154414,603,26200000,1978,71,1,0
154415,107,48900000,1981,110,2,0
154416,220,52500000,1999,113,3,0
154417,111,44000000,1973,102,2,0
154419,600,36000000,1968,100,3,0
154420,600,40500000,1947,120,3,0
154421,260,32000000,1960,94,3,0
154422,200,35000000,1971,49,1,0
154424,220,38000000,1995,96,3,0
154425,210,61200000,2006,93,1,0
154426,112,47000000,1993,89,2,0
154427,105,61000000,1946,111,3,0
154428,400,21500000,1985,64,1,0
154429,101,71500000,1922,183,4,2
154430,400,34500000,1916,144,1,0
154433,101,86100000,1936,165,2,0
154434,310,25000000,1950,95,2,0
154435,105,41500000,1959,56,1,0
154442,105,20000000,1940,57,2,0
154443,210,72000000,2017,135,4,0
154445,850,15000000,1980,63,1,0
154446,245,29000000,2004,207,4,2
154447,201,57000000,2002,102,2,0
154448,201,57000000,2003,104,2,0
154449,200,200000000,1984,312,7,2
154450,200,69900000,2020,129,3,0
154451,200,59900000,2020,90,2,0
154452,210,20500000,1977,60,2,0
154453,221,60000000,1994,115,3,0
154454,102,140000000,1978,316,4,0
154455,530,17500000,1971,117,3,1
154456,240,52000000,2009,239,4,1
154457,230,29000000,1956,100,3,1
154458,260,34900000,2021,74,2,0
154459,260,34900000,2021,74,2,0
154460,260,34900000,2021,74,2,0
154461,260,31400000,2021,64,1,0
154462,260,34900000,2021,74,2,0
154463,107,40000000,1965,80,2,0
154464,110,61000000,2004,117,3,0
154465,109,46000000,1976,117,3,0
154466,111,32500000,1974,57,1,0
154467,107,62000000,1983,137,4,0
154468,109,46500000,1968,104,3,0
154469,101,54450000,1926,136,4,0
154471,640,28500000,1902,227,3,0
154472,101,145000000,2019,145,2,0
154473,201,50200000,2004,94,2,0
154474,220,31200000,1990,45,3,0
154476,400,14000000,1946,50,2,0
154477,800,36300000,1980,101,2,0
154478,810,36900000,2018,54,1,0
154479,300,43000000,2006,85,1,0
154480,300,36800000,1971,103,2,0
154481,220,58900000,1965,150,3,0
154482,210,107000000,1983,199,3,2
154483,220,48900000,1965,138,3,0
154484,200,48200000,2019,68,1,0
154485,105,105000000,1944,205,5,0
154486,600,36400000,2003,96,2,0
154487,600,39100000,2004,91,2,0
154489,600,39300000,2021,80,2,0
154490,101,39300000,1926,76,2,0
154491,600,40500000,2006,110,3,0
154492,210,85000000,2008,156,3,0
154493,200,42000000,1963,65,1,0
154494,201,48000000,1994,83,2,0
154495,200,62000000,2021,80,1,0
154496,203,44900000,2006,73,1,0
154497,110,53900000,2004,96,2,0
154498,110,76500000,1985,194,7,0
154499,201,69900000,2020,125,3,0
154500,101,18000000,1932,32,1,0
154501,203,120000000,2014,200,4,0
154502,250,40000000,2007,146,3,1
154503,675,15000000,1983,221,4,2
